group,batch,old_filename,new_filename
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair8-audio2.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair9-audio1.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair9-audio2.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair10-audio1.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81_freqbin5_scaled1000.0.wav,batch4_pair10-audio2.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair11-audio1.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair11-audio2.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81_freqbin5_scaled10.0.wav,batch4_pair12-audio1.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair12-audio2.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair13-audio1.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin2_scaled10.0.wav,batch4_pair13-audio2.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair14-audio1.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin3_scaled0.5.wav,batch4_pair14-audio2.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair15-audio1.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin2_scaled0.5.wav,batch4_pair15-audio2.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin41_scaled10.0.wav,batch5_pair0-audio1.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair0-audio2.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair1-audio1.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin1_scaled0.5.wav,batch5_pair1-audio2.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair2-audio1.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair2-audio2.wav
group1,5,sid3114-clean-COSINE-3826-M_close_132_freqbin5_scaled1000.0.wav,batch5_pair3-audio1.wav
group1,5,sid3114-clean-COSINE-3826-M_close_132.wav,batch5_pair3-audio2.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair4-audio1.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair4-audio2.wav
group1,5,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch5_pair5-audio1.wav
group1,5,sid5333-noisy-COSINE-7408-M_array1_149_freqbin1_scaled1000.0.wav,batch5_pair5-audio2.wav
group1,5,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch5_pair6-audio1.wav
group1,5,sid5333-noisy-COSINE-7408-M_array1_149_freqbin1_scaled10.0.wav,batch5_pair6-audio2.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin1_scaled1000.0.wav,batch5_pair7-audio1.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair7-audio2.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin1_scaled10.0.wav,batch5_pair8-audio1.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair8-audio2.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair9-audio1.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin41_scaled1000.0.wav,batch5_pair9-audio2.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch5_pair10-audio1.wav
group1,5,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin41_scaled0.5.wav,batch5_pair10-audio2.wav
group1,5,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch5_pair11-audio1.wav
group1,5,sid5333-noisy-COSINE-7408-M_array1_149_freqbin1_scaled0.5.wav,batch5_pair11-audio2.wav
group1,5,sid3114-clean-COSINE-3826-M_close_132.wav,batch5_pair12-audio1.wav
group1,5,sid3114-clean-COSINE-3826-M_close_132.wav,batch5_pair12-audio2.wav
group1,5,sid3114-clean-COSINE-3826-M_close_132_freqbin5_scaled0.5.wav,batch5_pair13-audio1.wav
group1,5,sid3114-clean-COSINE-3826-M_close_132.wav,batch5_pair13-audio2.wav
group1,5,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch5_pair14-audio1.wav
group1,5,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch5_pair14-audio2.wav
group1,5,sid3114-clean-COSINE-3826-M_close_132.wav,batch5_pair15-audio1.wav
group1,5,sid3114-clean-COSINE-3826-M_close_132_freqbin5_scaled10.0.wav,batch5_pair15-audio2.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair0-audio1.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled0.5.wav,batch6_pair0-audio2.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair1-audio1.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair1-audio2.wav
group1,6,sid3114-clean-COSINE-3826-M_close_132.wav,batch6_pair2-audio1.wav
group1,6,sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled0.5.wav,batch6_pair2-audio2.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair3-audio1.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair3-audio2.wav
group1,6,sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled1000.0.wav,batch6_pair4-audio1.wav
group1,6,sid3114-clean-COSINE-3826-M_close_132.wav,batch6_pair4-audio2.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled0.5.wav,batch6_pair5-audio1.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair5-audio2.wav
group1,6,sid3114-clean-COSINE-3826-M_close_132.wav,batch6_pair6-audio1.wav
group1,6,sid3114-clean-COSINE-3826-M_close_132.wav,batch6_pair6-audio2.wav
group1,6,sid3114-clean-COSINE-3826-M_close_132_freqbin41_scaled10.0.wav,batch6_pair7-audio1.wav
group1,6,sid3114-clean-COSINE-3826-M_close_132.wav,batch6_pair7-audio2.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair8-audio1.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled10.0.wav,batch6_pair8-audio2.wav
group1,6,sid3629-clean-COSINE-4174-F_close_72.wav,batch6_pair9-audio1.wav
group1,6,sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled10.0.wav,batch6_pair9-audio2.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair10-audio1.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled1000.0.wav,batch6_pair10-audio2.wav
group1,6,sid3629-clean-COSINE-4174-F_close_72.wav,batch6_pair11-audio1.wav
group1,6,sid3629-clean-COSINE-4174-F_close_72.wav,batch6_pair11-audio2.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair12-audio1.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149_freqbin31_scaled10.0.wav,batch6_pair12-audio2.wav
group1,6,sid3629-clean-COSINE-4174-F_close_72.wav,batch6_pair13-audio1.wav
group1,6,sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled1000.0.wav,batch6_pair13-audio2.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch6_pair14-audio1.wav
group1,6,sid5333-noisy-COSINE-7408-M_array1_149_freqbin4_scaled1000.0.wav,batch6_pair14-audio2.wav
group1,6,sid3629-clean-COSINE-4174-F_close_72_freqbin2_scaled0.5.wav,batch6_pair15-audio1.wav
group1,6,sid3629-clean-COSINE-4174-F_close_72.wav,batch6_pair15-audio2.wav
group1,7,sid3629-clean-COSINE-4174-F_close_72.wav,batch7_pair0-audio1.wav
group1,7,sid3629-clean-COSINE-4174-F_close_72_freqbin4_scaled10.0.wav,batch7_pair0-audio2.wav
group1,7,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch7_pair1-audio1.wav
group1,7,sid4715-noisy-COSINE-6463-F_array1_69_freqbin2_scaled10.0.wav,batch7_pair1-audio2.wav
group1,7,sid3629-clean-COSINE-4174-F_close_72_freqbin4_scaled1000.0.wav,batch7_pair2-audio1.wav
group1,7,sid3629-clean-COSINE-4174-F_close_72.wav,batch7_pair2-audio2.wav
group1,7,sid4715-noisy-COSINE-6463-F_array1_69_freqbin2_scaled0.5.wav,batch7_pair3-audio1.wav
group1,7,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch7_pair3-audio2.wav
group1,7,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch7_pair4-audio1.wav
group1,7,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch7_pair4-audio2.wav
group1,7,sid1816-anchor-COSINE-2734-M_close_91_freqbin40_scaled0.5.wav,batch7_pair5-audio1.wav
group1,7,sid1816-anchor-COSINE-2734-M_close_91.wav,batch7_pair5-audio2.wav
group1,7,sid3629-clean-COSINE-4174-F_close_72_freqbin4_scaled0.5.wav,batch7_pair6-audio1.wav
group1,7,sid3629-clean-COSINE-4174-F_close_72.wav,batch7_pair6-audio2.wav
group1,7,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch7_pair7-audio1.wav
group1,7,sid5333-noisy-COSINE-7408-M_array1_149.wav,batch7_pair7-audio2.wav
group1,7,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch7_pair8-audio1.wav
group1,7,sid4715-noisy-COSINE-6463-F_array1_69_freqbin2_scaled1000.0.wav,batch7_pair8-audio2.wav
group1,7,sid1816-anchor-COSINE-2734-M_close_91.wav,batch7_pair9-audio1.wav
group1,7,sid1816-anchor-COSINE-2734-M_close_91_freqbin40_scaled1000.0.wav,batch7_pair9-audio2.wav
